Title,Year,Cited By,Link,Abstract,Document Type,Source,Evaluation,Methodology,Clarity,Completeness,Transparency
Enhancing cyber governance in Islamic banks: The influence of artificial intelligence and the moderating effect of Covid-19 pandemic,2024,5,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85175417351&origin=inward,None,Article,Scopus,0,0,0,0,0
An ordinal-cardinal consensus adjustment allocation mechanism for large-scale group decision making based on the consistency of distributed preference relations under fuzzy uncertainty,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85202997402&origin=inward,None,Article,Scopus,0,0,0,0,0
Optimal spending on cybersecurity measures: Digital privacy and data protection,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85202908040&origin=inward,None,Book,Scopus,0,0,0,0,0
"An in-depth survey of the artificial gorilla troops optimizer: outcomes, variations, and applications",2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200996841&origin=inward,None,Article,Scopus,0,0,0,0,0
GK index: bridging Gf and K indices for comprehensive author evaluation,2024,1,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191455187&origin=inward,None,Article,Scopus,0,0,0,0,0
Supervised feature compression based on counterfactual analysis,2024,1,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177088758&origin=inward,None,Article,Scopus,0,0,0,0,0
VelogCPS: A safe blockchain network for cyberâ€“physical systems leveraging block verifiers,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194487019&origin=inward,None,Article,Scopus,0,0,0,0,0
"Operational Research for, with, and by citizens: An overview",2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85177091637&origin=inward,None,Review,Scopus,0,0,0,0,0
Information Security Research in the Information Systems Discipline: A Thematic Review and Future Research Directions,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200597998&origin=inward,None,Article,Scopus,0,0,0,0,0
Generating entrepreneurial ideas with AI,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85200874817&origin=inward,None,Book,Scopus,0,0,0,0,0
AI and data engineering solutions for effective marketing,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201737695&origin=inward,None,Book,Scopus,0,0,0,0,0
Intersections between rights and technology,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85201729464&origin=inward,None,Book,Scopus,0,0,0,0,0
"A Framework for Assessing Innovations, Business Models and Sustainability for Software Companies Using Hybrid Multiple-Criteria Decision-Making",2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199871303&origin=inward,None,Article,Scopus,0,0,0,0,0
Evaluations of Cache Side Channels Attacks and Defends,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199693620&origin=inward,None,Article,Scopus,0,0,0,0,0
Integrating Digital Technologies in Sustainability Accounting and Reporting: Perceptions of Professional Cloud Computing Users,2024,1,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199600953&origin=inward,None,Article,Scopus,0,0,0,0,0
Lockdown-Protection: Unintended Execution Attack Prevention Based on Program Behavior Analysis,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199375595&origin=inward,None,Article,Scopus,0,0,0,0,0
Understanding Characteristics of Phishing Reports from Experts and Non-Experts on Twitter,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85197247744&origin=inward,None,Article,Scopus,0,0,0,0,0
Focusing on the fundamentals? An investigation of the relationship between corporate social irresponsibility and data breach risk,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85194371211&origin=inward,None,Article,Scopus,0,0,0,0,0
Market-Level Integrated Detection Against Cyber Attacks in Real-Time Market Operations by Self-Supervised Learning,2024,3,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187263648&origin=inward,None,Article,Scopus,0,0,0,0,0
A Computational Framework for Understanding Firm Communication During Disasters,2024,3,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196729064&origin=inward,None,Article,Scopus,0,0,0,0,0
Role of Blockchain Technology in Smart Era: A Review on Possible Smart Applications,2024,3,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186709221&origin=inward,None,Article,Scopus,0,0,0,0,0
#WhatIsDemocracy: finding key actors in a Chinese influence campaign,2024,1,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85163758161&origin=inward,None,Article,Scopus,0,0,0,0,0
AI algorithms and ChatGPT for student engagement in online learning,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196595413&origin=inward,None,Book,Scopus,0,0,0,0,0
Blockchain and IoT Approaches for Secure Electronic Health Records (EHR),2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196449950&origin=inward,None,Book,Scopus,0,0,0,0,0
Cases on AI ethics in business,2024,0,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85196201443&origin=inward,None,Book,Scopus,0,0,0,0,0
